"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3469";"T001038";"GM1000";"2007JJ00";""
"3470";"T001038";"GM1000";"2008JJ00";""
"3471";"T001038";"GM1000";"2009JJ00";""
"3472";"T001038";"GM1000";"2010JJ00";""
"3473";"T001038";"GM1000";"2011JJ00";""
"3474";"T001038";"GM1000";"2012JJ00";""
"3475";"T001038";"GM1000";"2013JJ00";""
"3476";"T001038";"GM1000";"2014JJ00";""
"3477";"T001038";"GM1000";"2015JJ00";""
"3478";"T001038";"GM1000";"2016JJ00";""
"3479";"T001038";"GM1000";"2017JJ00";""
"3480";"T001038";"GM1000";"2018JJ00";""
"3481";"T001038";"GM0738";"1960JJ00";""
"3482";"T001038";"GM0738";"1961JJ00";""
"3483";"T001038";"GM0738";"1962JJ00";""
"3484";"T001038";"GM0738";"1963JJ00";""
"3485";"T001038";"GM0738";"1964JJ00";""
"3486";"T001038";"GM0738";"1965JJ00";""
"3487";"T001038";"GM0738";"1966JJ00";""
"3488";"T001038";"GM0738";"1967JJ00";""
"3489";"T001038";"GM0738";"1968JJ00";""
"3490";"T001038";"GM0738";"1969JJ00";""
"3491";"T001038";"GM0738";"1970JJ00";""
"3492";"T001038";"GM0738";"1971JJ00";""
"3493";"T001038";"GM0738";"1972JJ00";""
"3494";"T001038";"GM0738";"1973JJ00";"    8723"
"3495";"T001038";"GM0738";"1974JJ00";"    8856"
"3496";"T001038";"GM0738";"1975JJ00";"    9103"
"3497";"T001038";"GM0738";"1976JJ00";"    9266"
"3498";"T001038";"GM0738";"1977JJ00";"    9510"
"3499";"T001038";"GM0738";"1978JJ00";"    9644"
"3500";"T001038";"GM0738";"1979JJ00";"    9864"
"3501";"T001038";"GM0738";"1980JJ00";"   10031"
"3502";"T001038";"GM0738";"1981JJ00";"   10155"
"3503";"T001038";"GM0738";"1982JJ00";"   10186"
"3504";"T001038";"GM0738";"1983JJ00";"   10286"
"3505";"T001038";"GM0738";"1984JJ00";"   10329"
"3506";"T001038";"GM0738";"1985JJ00";"   10407"
"3507";"T001038";"GM0738";"1986JJ00";"   10493"
"3508";"T001038";"GM0738";"1987JJ00";"   10537"
"3509";"T001038";"GM0738";"1988JJ00";"   10597"
"3510";"T001038";"GM0738";"1989JJ00";"   10687"
"3511";"T001038";"GM0738";"1990JJ00";"   10793"
"3512";"T001038";"GM0738";"1991JJ00";"   10883"
"3513";"T001038";"GM0738";"1992JJ00";"   10952"
"3514";"T001038";"GM0738";"1993JJ00";"   11041"
"3515";"T001038";"GM0738";"1994JJ00";"   11081"
"3516";"T001038";"GM0738";"1995JJ00";"   11188"
"3517";"T001038";"GM0738";"1996JJ00";"   11201"
"3518";"T001038";"GM0738";"1997JJ00";"   11349"
"3519";"T001038";"GM0738";"1998JJ00";"   11529"
"3520";"T001038";"GM0738";"1999JJ00";"   11691"
"3521";"T001038";"GM0738";"2000JJ00";"   11774"
"3522";"T001038";"GM0738";"2001JJ00";"   11928"
"3523";"T001038";"GM0738";"2002JJ00";"   12006"
"3524";"T001038";"GM0738";"2003JJ00";"   12087"
"3525";"T001038";"GM0738";"2004JJ00";"   12204"
"3526";"T001038";"GM0738";"2005JJ00";"   12164"
"3527";"T001038";"GM0738";"2006JJ00";"   12222"
"3528";"T001038";"GM0738";"2007JJ00";"   12293"
"3529";"T001038";"GM0738";"2008JJ00";"   12386"
"3530";"T001038";"GM0738";"2009JJ00";"   12556"
"3531";"T001038";"GM0738";"2010JJ00";"   12614"
"3532";"T001038";"GM0738";"2011JJ00";"   12685"
"3533";"T001038";"GM0738";"2012JJ00";"   12749"
"3534";"T001038";"GM0738";"2013JJ00";"   12774"
"3535";"T001038";"GM0738";"2014JJ00";"   12846"
"3536";"T001038";"GM0738";"2015JJ00";"   12922"
"3537";"T001038";"GM0738";"2016JJ00";"   13038"
"3538";"T001038";"GM0738";"2017JJ00";"   13067"
"3539";"T001038";"GM0738";"2018JJ00";"   13153"
"3540";"T001038";"GM0358";"1960JJ00";"   14894"
"3541";"T001038";"GM0358";"1961JJ00";"   15065"
"3542";"T001038";"GM0358";"1962JJ00";"   15307"
"3543";"T001038";"GM0358";"1963JJ00";"   15611"
"3544";"T001038";"GM0358";"1964JJ00";"   15810"
"3545";"T001038";"GM0358";"1965JJ00";"   16097"
"3546";"T001038";"GM0358";"1966JJ00";"   16393"
"3547";"T001038";"GM0358";"1967JJ00";"   16595"
"3548";"T001038";"GM0358";"1968JJ00";"   16956"
"3549";"T001038";"GM0358";"1969JJ00";"   17775"
"3550";"T001038";"GM0358";"1970JJ00";"   18666"
"3551";"T001038";"GM0358";"1971JJ00";"   19019"
"3552";"T001038";"GM0358";"1972JJ00";"   19306"
"3553";"T001038";"GM0358";"1973JJ00";"   19823"
"3554";"T001038";"GM0358";"1974JJ00";"   20188"
"3555";"T001038";"GM0358";"1975JJ00";"   20498"
"3556";"T001038";"GM0358";"1976JJ00";"   20779"
"3557";"T001038";"GM0358";"1977JJ00";"   20844"
"3558";"T001038";"GM0358";"1978JJ00";"   20670"
"3559";"T001038";"GM0358";"1979JJ00";"   20586"
"3560";"T001038";"GM0358";"1980JJ00";"   20486"
"3561";"T001038";"GM0358";"1981JJ00";"   20435"
"3562";"T001038";"GM0358";"1982JJ00";"   20398"
"3563";"T001038";"GM0358";"1983JJ00";"   20477"
"3564";"T001038";"GM0358";"1984JJ00";"   20379"
"3565";"T001038";"GM0358";"1985JJ00";"   20903"
"3566";"T001038";"GM0358";"1986JJ00";"   21293"
"3567";"T001038";"GM0358";"1987JJ00";"   21456"
"3568";"T001038";"GM0358";"1988JJ00";"   21740"
"3569";"T001038";"GM0358";"1989JJ00";"   21954"
"3570";"T001038";"GM0358";"1990JJ00";"   22167"
"3571";"T001038";"GM0358";"1991JJ00";"   22196"
"3572";"T001038";"GM0358";"1992JJ00";"   22118"
"3573";"T001038";"GM0358";"1993JJ00";"   21999"
"3574";"T001038";"GM0358";"1994JJ00";"   21902"
"3575";"T001038";"GM0358";"1995JJ00";"   21990"
"3576";"T001038";"GM0358";"1996JJ00";"   22186"
"3577";"T001038";"GM0358";"1997JJ00";"   22284"
"3578";"T001038";"GM0358";"1998JJ00";"   22600"
"3579";"T001038";"GM0358";"1999JJ00";"   22513"
"3580";"T001038";"GM0358";"2000JJ00";"   22461"
"3581";"T001038";"GM0358";"2001JJ00";"   22662"
"3582";"T001038";"GM0358";"2002JJ00";"   22786"
"3583";"T001038";"GM0358";"2003JJ00";"   22839"
"3584";"T001038";"GM0358";"2004JJ00";"   22915"
"3585";"T001038";"GM0358";"2005JJ00";"   23296"
"3586";"T001038";"GM0358";"2006JJ00";"   24145"
"3587";"T001038";"GM0358";"2007JJ00";"   25019"
"3588";"T001038";"GM0358";"2008JJ00";"   26386"
"3589";"T001038";"GM0358";"2009JJ00";"   28006"
"3590";"T001038";"GM0358";"2010JJ00";"   29187"
"3591";"T001038";"GM0358";"2011JJ00";"   30189"
"3592";"T001038";"GM0358";"2012JJ00";"   30364"
