"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"142087";"T001038";"10010";"T001019";"PV20  ";"1995JJ00";"    6430"
"142088";"T001038";"10010";"T001019";"PV20  ";"1996JJ00";"    6322"
"142089";"T001038";"10010";"T001019";"PV20  ";"1997JJ00";"    6162"
"142090";"T001038";"10010";"T001019";"PV20  ";"1998JJ00";"    6312"
"142091";"T001038";"10010";"T001019";"PV20  ";"1999JJ00";"    6483"
"142092";"T001038";"10010";"T001019";"PV20  ";"2000JJ00";"    6583"
"142093";"T001038";"10010";"T001019";"PV20  ";"2001JJ00";"    6573"
"142094";"T001038";"10010";"T001019";"PV20  ";"2002JJ00";"    6679"
"142095";"T001038";"10010";"T001019";"PV20  ";"2003JJ00";"    6582"
"142096";"T001038";"10010";"T001019";"PV20  ";"2004JJ00";"    6441"
"142097";"T001038";"10010";"T001019";"PV20  ";"2005JJ00";"    6130"
"142098";"T001038";"10010";"T001019";"PV20  ";"2006JJ00";"    5912"
"142099";"T001038";"10010";"T001019";"PV20  ";"2007JJ00";"    5784"
"142100";"T001038";"10010";"T001019";"PV20  ";"2008JJ00";"    5655"
"142101";"T001038";"10010";"T001019";"PV20  ";"2009JJ00";"    5880"
"142102";"T001038";"10010";"T001019";"PV20  ";"2010JJ00";"    5883"
"142103";"T001038";"10010";"T001019";"PV20  ";"2011JJ00";"    5700"
"142104";"T001038";"10010";"T001019";"PV20  ";"2012JJ00";"    5797"
"142105";"T001038";"10010";"T001019";"PV20  ";"2013JJ00";"    5513"
"142106";"T001038";"10010";"T001019";"PV20  ";"2014JJ00";"    5256"
"142107";"T001038";"10010";"T001019";"PV20  ";"2015JJ00";"    5327"
"142108";"T001038";"10010";"T001019";"PV20  ";"2016JJ00";"    5223"
"142109";"T001038";"10010";"T001019";"PV20  ";"2017JJ00";"    5328"
"142110";"T001038";"10010";"T001019";"PV20  ";"2018JJ00";"    5020"
"142111";"T001038";"10010";"T001019";"PV20  ";"2019JJ00";"    4886"
"142208";"T001038";"10010";"T001019";"PV24  ";"1988JJ00";"    3513"
"142209";"T001038";"10010";"T001019";"PV24  ";"1989JJ00";"    3727"
"142210";"T001038";"10010";"T001019";"PV24  ";"1990JJ00";"    3559"
"142211";"T001038";"10010";"T001019";"PV24  ";"1991JJ00";"    3956"
"142212";"T001038";"10010";"T001019";"PV24  ";"1992JJ00";"    4026"
"142213";"T001038";"10010";"T001019";"PV24  ";"1993JJ00";"    4035"
"142214";"T001038";"10010";"T001019";"PV24  ";"1994JJ00";"    4175"
"142215";"T001038";"10010";"T001019";"PV24  ";"1995JJ00";"    4325"
"142216";"T001038";"10010";"T001019";"PV24  ";"1996JJ00";"    4233"
"142217";"T001038";"10010";"T001019";"PV24  ";"1997JJ00";"    4236"
"142218";"T001038";"10010";"T001019";"PV24  ";"1998JJ00";"    4512"
